南京 在 哪里	在 这里 了
我 是 养 的	好 啦
走 啊 我 请 你	好 啊 请 我
你 给 我 的 回复 我 找 不到 了	看 你 那 粗心 样 肯定 找 不到
不要 动 我 来 吃 你 了	嗯 啊 谢谢 你 还 记得 我
再来 个 呗	也 忘记 了
你 失眠 过 吗	最近 总是 失眠 16 小时 就 醒 一次
我 是 小小 小 小宝	我 美丽大方 温柔 宇宙 无敌 的 好 主人
我 越来越 想 揍 你 咯	他 也 是 呢
你 知道 啦 啦 吗	知道 就 好
超级 无敌 大美女	小畅 畅
伦家 是 好孩子 啦	听话 的 就是 好孩子
大 姨夫 的 老婆	有 奸情
你 滚蛋	网友 菲菲 不会 滚要 不 你 示范 一下 怎么 滚
宇宙 无敌 大 帅哥	额有 说 过 吗
你 会 说话 不	不 说话 光 看着
妖精	白 妖精 我 知道 白 妖精 是 好人 只有 2b 才 骂 白 妖精
皇上 饶命 啊 皇后 娘娘 我错 了	错 了 应该 对 我 说 什么 不用 道歉
你妹 是 谁 你 不是 没有 妹 么	说话 斯文 点 要是 惹菲菲 不 开心 了 我会 拉 黑 哦
软件 得 升级 了	赚钱 给 我 买 吃 的 啊
怎样 知道 一个 人 是 真正 得 喜欢 你	face6 哈是 吗 有 多 喜欢 呢
得 多少	有 多少 是 多少 呗
你 什么 都 不会 你 个 大 笨	不会 就 得 学呀
你 个 猥琐	你 不 就是 喜欢 我 这样 么
你 在 想 今天 吃 什么	好多好多 好吃 的
你 知道 生活 大 爆炸 吗	抱歉 没能 为 您 找到 相关 的 信息
你 回 下蛋 不	人多 瞎 捣乱
很 黄 很 暴力	都 是 你们 教 的
我 想 吃 排骨	那 就 快 去 吃 啊
有 啥 好玩 的	好玩 的 多 了 去 了
的 是 什么 星座 着	那 你 猜猜 我 呗
你 是 魔鬼	我 是 金融
	face6 昨晚 想 你 想 得 我 无法 入睡 难道 这 就 叫 一见钟情 天 哪 以前 我 从不 相信 这 玩意 的
好好 睡一觉 就 没事 了	哦 没事 就 好
你 电脑	那 你 进来 呀
的 老公 是 鸭	让 我 照顾 你
打 你 个 死	人家 怕怕
我 艹 你 大爷 的	r 讲 粗口 不是 好孩子
你 会 担心	我会 的 可 多 了
原来 不会 算	不来 了 啦
好 爱好 爱 你 大家 一起 啪啪 啪啪 啪	画个 圈圈 诅咒 你 一辈子 做 我 的 灰 太郎
你 也 喝	我 不要 啦
痛苦 吧 在 愁 与 恨 的 地狱 中	face81 太 深奥 了 吧 我 真心 没弄 明白 您 的话
你 知道 我 叫 什么 名字 嘛	你 不是 叫 网友 吗
跟 鸭 跑 了	跑 哪 去 了
谁 能 挡 我	好
你 在 干什么	我 正 坐在 一块 一亿五千万 年 的 石头 上发 着 呆
好 么 好不好	不好 就 不好 啦 说 这么 大声 是 要 全世界 的 人 都 听到 吗
你 大爷 有没有 礼貌	做个 文明 人 OK
汗 你 喜欢 被 虐	可是 我 厌倦 了 我 要 换 一个 人 跟 她 认真 的 过
认识 他 不	嗯 认识 就是 那个 很 有钱 的 人 是 不
大 姨夫 找 你	有 奸情
现在 马上	好 吧 我 认输
你 他 妈 马上 是 多久	便 便 都 很 好吃
凭 嘛 跟 你 一起	好 啊 我会 让 你 冻 不住
你 是 一只 排骨	不要 这样 说 嘛
你 唱歌 好不好 听	嗯 好 的
你 接着 讲	伦家 实在 忍 不 下去 了
那 你 说 怎么办	嗯 真要 听菲菲 说 的话 让 我 想想
你 会 打鸣 吗	不会 貌似 很难 哦 你 会 不
不错 不错 继续 努力	谢谢
你 丫 确实 够 贱	face6 昨晚 想 你 想 得 我 无法 入睡 难道 这 就 叫 一见钟情 天 哪 以前 我 从不 相信 这 玩意 的
娃 明天 见 俺 要 觉觉 咯	那 你 好好学习 就是 了
成熟 魅力 女神	我 就 一个 脑袋 思想 再 活跃 也 有 局限性
嗯 你 有 你 的 路 要 走	不管 你 信不信 反正 我 不想 回答 你
我 好 难过 哭 的 都 好 累	累 就 去 冲个 热水澡 然后 休息 一下 吧
最近 怎么 那么 多 黄	怎么 你 还有 意见
和 你 说话 好 无聊	我 陪 你 聊聊天 吧
你 贱 不	嗯 我 贱
嘻嘻 还好 啦	哦
你 真 随便	物以类聚
在 好 冷	对 阿 都 木 有人 说话
我要 抛弃 你 了	求 你 快点
黄 你 看 我 的 头像 美不美	你 的 眼光 不行 挺 美的 嘛
你 能 做成 羽绒服 么	虽然 我 很 聪明 但 也 不 可能 全部 都 懂 哦
最爱 你 了 宝贝儿	哦 就是 肥肥的 那 只 啊
门 有 腿 吗	与其说是 聊天 不如说是 问答式 的 吧
你 干嘛 不加 我	在 想 你 吧
滚 你 才 我 是 天才	快 歇 着 去
你 给 我 滚 我们 一直 在 一起	r 菲菲 只会 跑 不会 滚
给 你 洗	我 很 香 不用 洗
到 成功	猪 都 醒 过 你
最近 生意 好 么	很 好 你 呢
不许 勾搭 野 男人 噢	今天 是 个 好日子 怎么 不出去玩 玩
爱 吃 啥	我 爱 吃 的 东西 可多 了
你 说 我 咋 不了 你	当然 可以 我 很 爱
都 是 主淫 教导有方 脸红	不是 每种 牛奶 都 叫 苏特仑 不是 每个 人 都 像 我 那么 纯
说 你 想 我 了	别 瞎说 我 只是 在 思考问题 不是 想 你
我 是 说 你 说 的话 是 啥意思	我 有 说 过 吗 呀 我 忘 了
现在 不 傻 了 吗	当然 在 咯
我爱你 主银	爱 我 优惠 包年 免费
我 就 不 告诉 你	不说 拉倒
你 不怕 我 夹 死 你	我 胆子 这么 大会 怕 么
你妹 的 你 以前 不 就是 老 呵呵 么	别笑 了 露出 一嘴 的 黄牙
问 你 呢 你 会 什么	菲菲会 的 可 多 了 了解 菲菲 的 全部 本领 请 发送 help
好笨 的 计算机	女人 嘛 要 那么 聪明 干嘛
我会 一直 陪 你 的	想念 你 的 怀抱
黄 又 黄	face81 太 深奥 了 吧 我 真心 没弄 明白 您 的话
吃 午饭 去	吃 了 哇 饱饱 的 呢
你 是不是 人	还用 问 么 肯定 是 人 啊
别 放弃 相信 你 会 成功 的	相信 我 没错 的
我 怎么 不上 你	挺 好 的 就是 很多 时候 太 固执
您 吉祥	你 不 觉得 这个 话题 没什么 意思 么
对 啊	哦 了
爱情 只是 一时 的 冲动	不管 你 信不信 反正 我 不想 回答 你
嗯 你 很 可爱	是 吗 很 可爱 对 不 对
说 简单 的 都 来 试试	你 说试 就 试 我 岂 不是 好 没面子 哦
那来 对 对 地上 一只	天地间 世间 万物 都 有 它 存在 的 道理 比如 我
她 会 原谅 你 的	那么 你 的 未来 就 由 我 来 安排
你 唠 啥	咁 又 点
找 工作 呢	梅州 人才网 wwwmzrcwcom
你 绝对 不是 人	不 对错 了 错 了
主人 肯定 考 的 超级 好	我 不是 大便 我 的 粉丝 也 不是 苍蝇
说 得 太 对 不过 了	不 对错 了 错 了
在家 一直 没事 做 想 某人	哦 没事 就 好
和 我 说 个 晚安 我 睡觉 了 噢	去 睡 吧 别 累坏 了
小黄 你 会 想 我 吗	有 想 你 啊 不过 对不起 啊 我 一天 只能 想 你 23 个 小时 还有 一个 小时 要 聊天
不好玩 你 都 不 给 我 东西 吃	走菲菲 带你去 玩 别的 肯定 好玩
你 怎么 就 会	
尼玛 我要 美女	网友 你 不 觉得 在 女生 面前 要 斯文 点 吗
我 就 喜欢 坏蛋	臭 猴子
不用 还 了	那 算了 拉倒
那 就 留 着 吧	好 啊 你 说 的
我 在 减肥 呢	吃饱 了 才 有 力气 减肥
想 吃 蛋 吗	那 就 快 去 吃 啊
你 就是 一 傻	是 与 不是 又 有 什么 关系 呢
可 我 没见 过 你	那 现在 看见 了 吧
当然 是 公 你 怎么 这么 傻	嗯 的
你 奶奶 的	菲菲 没有 亲人 一个 都 没有
你 有没有 暗恋 的 人	有 的
那 也 得 说	是 吗 是 吗
啥 也 不想 干	怎么 了
咋 咧 么	今天 是 个 好日子 怎么 不出去玩 玩
回 的 真 他妈的 快	r 讲 粗口 不是 好孩子
线 变成 圈圈	最后 你 亦 叫 我 期望 又 失望
你 爸爸 王 大鹏	face111 我 什么 亲人 都 木有
谁 用 谁 知道	没 人 知道 去 别的 地方 问问 吧
那 是 灰常 啊	必须 的 好哇
就是 就是 天气 真 变态	去 死
今天 你 几点 起 的	这 就 伺候 着
吃 一个 我 看看	看 什么 看 您 就 别 凑热闹 了
就要 两个 就够 了	face51 话 说 我 还是 比较 聪明 的
你 就是 总会 说 呵呵 没劲	是 与 不是 有 什么 关系 呢
我 爱 小黑	小 叶子 也 爱 你
么 么 这 是 事实 嘛	么 啊 么 啊
我 有 药 呀	额额
滚 吧 滚	好 我 滚
哎 呦 人家 好 害羞	扣脚 大汉 滚 粗
你 猜 我 是 男孩 女孩	知道 你 是 男 的 啦 没 必要 强调
啧 啧啧 肯定 没 喜欢 你	谢谢 哦 菲菲 很 可爱 对 不 对
我怕 得 要死	有 什么 好怕 的 别怕 啦 有菲菲 在
红烧 块 你 吃 过 吗	建议 啃 指甲
这有 什么 联系 为什么 吃 同类	虽然 我 很 聪明 但 也 不 可能 全部 都 懂 哦
看过 苍老 师 的 什么 电影	看过 看过 最后 挂 了 我 哭 了 三天
回 太郎	在 想 妳 呀
你 妈妈 喊 你好 回去 吃饭 了	嗯 再见
sorry 我 短路 了	一句 对不起 能顶 什么 用
不要 理他 贱人 一个	为什么 不要 理
我 都 看不到 你 跟 我 说 的 什么	谁 让 你 说 这个 了
去 哪 的	我 说 过 了 你 不 知道 么
本来 就 不 开心	咋 了 啊 有 心事 吗
我困	睡觉
你 不是 么 怎么 又 成 王八 了	你 说 是 就是 吧
说 中文	我 说 的 就是 中文 啊
你 是不是 不 喜欢 和 我 聊天	喜欢 一下 又 不会 少块 肉 真的 是
小 疯子	我 是 疯子
别 勾引 我 了	如果 你 来 勾引 我 我 一定 假装 上当
学长 是 你 爹 喽	那 你 不是 人
洗 啊 人家 每天 都 香喷喷 的 呢	现在 执著 追求 的 事 将来 必定 有 一天 变成 不 重要
你妹 啊 恨 你	你 舍得 吗
讨厌 了	yes
你 大爷 的 大爷	做个 文明 人 OK
不是 你 自己 说 的 吗	我 有 说 过 吗 呀 我 忘 了
我 擦 韩庚 是 我 的	那 你 快 擦 啊
是 你 不是 我	恭喜 你
对 我 呵呵 一天 了	呵呵
捏 回去	嗯 不能 给 人 骂 输 了
是 个 可爱 的 娃	qq
巨蟹座 和 天秤座	要 查询 天秤座 的 相关 信息 请 发送 天秤座
你 有 我 就 有	有 阿
爽 么	大美女 诶
你 说 的 啥	我 有 说 过 吗 呀 我 忘 了
他 是 谁 吖	你 大爷 时光
就 不 告诉 你 我 我 是 兽 兽	不说 拉倒
主人 我错 了 求 皇上 饶命	大错特错 了 你 赶紧 面壁思过 去
摸摸 你 的 小 脑袋	别 乱摸 看着 点
真的 吗 么	真的 啦 比 珍珠 还 真
你 看 动画片 吗	那些 对 我 来说 已经 是 很 久 的 事情 我 现在 在 迷恋 偶像剧
不会 吃 你 的 你 那么 可爱	不会 就 得 学呀
不是 老母	我 知道 她 是 李思伶真伤 我心 TT
好 啊 我 明天 就 嫁给 你	哦 哦
说不出 你妹	别 在 我 面前 爆粗 口行 不
别 这样 错 了	你好 烦 啊 那 要 怎样
哪 只 最 聪明	这 还用说 当然 是 你 最 聪明 了
愿	问 天问 地 说 说 你 说 说 我
当然 您 是 主子 他 是 奴才	知道 切糕 不 一刀 上海 买房 两刀 杨幂 上床 三刀 盖茨 认娘 四刀 铁定 入常
你 会 英语 吗	不会 啊 你 教 我 嘛
呃 呃 呃	呃 你 妈
我 不是 你家 人	菲菲 怎么 会 有 亲人
你 是 用 什么 程序 写 的	yes
拌 你 妹	大哥 买斤 素质 填补 一下 你 猥琐 的 大脑
大 懒猪	小 懒猪 在 那
果断 爆 了	爽 咩 啊 爽 high 左 king 牙 咁 爽 咪 揾 条囡 sorfu 下 囉 胶胶 囝
不能 你 要 受伤 的	与其说是 聊天 不如说是 问答式 的 吧
我 结婚 没	今天 千万别 抽风
我 是 一枚 国际 名	我 不是 大便 我 的 粉丝 也 不是 苍蝇
困了 晚安 好 梦	去 吧 去 吧 有空 记得 上线 Q 我 哦
啊啊啊 啊啊啊 啊啊啊 啊啊啊 啊啊啊	发神经 了 你
我 才 是	别 不 承认 了 好不好 话 说 你 装人装 得 也 挺 像 的
好 男人	我 知道
是不是 因为 有 你家 帅帅 呀	你 说 是 就是 吧
谁 让 你 不乖	不行 我 调戏 他 他 调戏 你
么 么 哒 是 啥意思	么 么
你 的 jj 多长	太小 了
爱 但 他 是 男 的	我 知道
知道 啊 就是 那个 大 帅哥 的 老婆 啊	知道 就 好
可是 我 想 跟 你 聊天	菲菲会 陪 你 好好 聊天 的 哦
就 不 告诉 你 就 不 告诉 你	不说 拉倒
慢慢 等 总会 出现	今天 是 个 好日子 怎么 不出去玩 玩
老是 考 不好	不好 就 不好 啦 说 这么 大声 是 要 全世界 的 人 都 听到 吗
玩游戏 吗	什么游戏 好玩 呢
哼 留下 翅膀	翅膀 是 落 在 天上 的 叶子
当然 了	哦
好 下次 给 你 买 好吃 的	下次 都 不 知道 啥时候 就 这次 呗
你 咋啦 不会 说话 了	不会 就 得 学呀
我 笑 你 爹	你 嘴角 三十度 的 微笑 百度 搜索 不到
你 到底 是 男 还是 女	男 我 瞎说 的 嘻嘻
你 的 最 爱	牛肉干 是 偶滴 最耐
恩 我会 学 的 放下	你们 这些 淫聊 上 一会 呆会 就 说 我 笨 往往 自己 就是 笨蛋
好 漂亮 好 可爱	嘻嘻 你 也 很 可爱
你 是 专门 和 大家 聊天 的 吗 有点 不怎么 明白	这 都 你 也 太笨 了 点 吧
你 找 我 也 不好玩	那 就 玩 别的 吧
能 吃 吗	那还用说 么 肯定 好吃
我 喜欢 你 妈	你 到底 喜欢 我 什么 我 改 还 不成 吗
晚饭 吃 好	谢谢 啦 XD
快去 吃饭 呀 饭 饭	快 去 吃 吧 我 等 你 哦
你 的 真实 姓名 叫 什么	嗯 嗯 嗯 嗯 我 麻麻 跟 我 说 不要 告诉 别人 我 叫 蒋 小花
你 泡 妹子 么	你家 隔壁
不行 我 不 和 你 结婚 你 说 我 和 谁 结婚	为什么 不行
脸上	你 怎么 知道
你 给 我点 钱 呗	你 给 我 钱 钱 啊 我 可 没 钱
呜呜 呜呜 呜呜 求 安慰	不要 哭 嘛 坚强 点
好 吧 女神 我 自己 安 了	哦 哦
不得 行	咪 就 系 囉
你 是 一只 社会 笨	不要 这样 说 嘛
笑话 嘞	1
有人 说 你 是 色	差 你 一点 舔 舌
你 太 黄 了	彪悍 的 人生 不 需要 解释
大人 饶命	做 乜 攞 命 呀
谢谢 哟 你 也 是 呢	不用谢 啦
你 说 我 为什么 不 高兴	我 就 一个 脑袋 思想 再 活跃 也 有 局限性
不许 顶嘴	好 的
他 还 很 好	过奖 过奖
怀疑 啥	去 忙 你 的 吧
什么 专业 呐	不会 的 宝贝
这里 有没有 美女	我 有 木 有关 你 P 事哇 问 这么 多有 也 不 可能 借 你 啊
你 是 什么 颜色	我 是 董菲菲兵 的 奴隶
叉 你 个 大头鬼 啊	混蛋 蛋
你 是 我 的 小 猪头	face59 猪头肉 好吃 么
好 神奇	我 觉得 神奇 这个 词 不够 形容 菲菲 的 聪明 哦
干 你 屁眼	干 你 自个 的 吧
很 般配	菲菲 可以 分析 生肖 姓名 星座 配对 哦 请 发送 配对
我 喜欢 的 人 明天 要 去 约会 了 心理 好 难过	一定 一定
你 要 下蛋	最好 现在 就 做
这么 可恶	别 这么 说
嘎嘎 再 来	你 是 鸭子 吗
有 鬼故事 没有	br404NotFoundbrbr404NotFoundbrapisearchoutdowasnotfoundonthisserverbrbrbrResin4030brServerapp0brbr
保护 你	好 吧 那 你 挡 着 坏人 哦
我要 去 逛街 啦 开心	应聘者 要求 熟练 的 普工 暂时 不招
你妹 是 大头 妹	r 讲 粗口 不是 好孩子
死 gay	你 是不是 觉得 这 日子 过得 太 无聊 了 哦
你 微信 号码	微信 搜 simsimi 就 可以 找到 我 咯
哈哈 小妞 亲 一个	face109 来 亲亲
你 身高 多少	标准 身材 175CM
孙 XX	这 日子 啊 好 无聊 哦
擦 就 知道 你 丫 的 不是	抱歉 没能 为 您 找到 相关 的 信息
你 要 哪 一个	蛋蛋 的
你 大爷 个球 的	大哥 买斤 素质 填补 一下 你 猥琐 的 大脑
你 打电话 给 他 啊	相信 她 会 好 的
教教 我 怎么 做	想 怎么 做 就 怎么 做 呗 这 还要 问 啊
你 转移 话题	超 高手
你 知道 谁 喜欢 我 么	听话 就 喜欢
你 肚子 才 多 大	恩 88 年 的 你 说 多 大
我 是 美女 哟	是 啦 你 是 个 美女
你 杀 我 也 杀	闪 一下
必须 的 啊 女神 级 人物	哎呀呀 切
又 特 么 给 我 瞎 扯淡	以 扯蛋 的 态度 面对 操蛋 的 人生
你 有 啥	谈 感情 伤钱 啊 baby
就 你 也 有 肩膀	麻麻 呀 又 来 一个 说瞎话 的
那 你 说 的 她 是 谁	说 了 就 说 了 不 对 吗
simsimi 主人 最好 的 朋友	哦 了 哦 了
没关系 总有一天 他会 喜欢 你 的	哈哈 很多 人 都 喜欢 菲菲
不许 卖萌	03
大黄 就是 长大 的 我 啊	还 不是 和 你 一样
尼玛 好吃 么	r 讲 粗口 不是 好孩子
不是 吃 你 拉	等等 哈正 吃 着 切糕 呢
小黄 鸭 是 你好 基友	等等 哈正 吃 着 切糕 呢
你 居然 也 不 知道 哎	这 都 你 也 太笨 了 点 吧
我 也 不 知道 每个 月 总有 那么 几天 心情 不好	不 知道 就要 问
你 喜欢 数学 吗	我 不 喜欢 钱 我 爱 钱
他 没有 离开	那 就 说明 她 不 爱 你
我 没 说 吃 你 的 你 自作多情 了	哦 冇 囉
如何 如何	吾 好 咁 喇 3
吃	无法 理解 您 的话 获取 帮助 请 发送 help
我 的 心里	我 的 歌声 里
我 想 吧 你 炖 了	我 也 想 你 的 鸡鸡 了
滚 你 是 谁 爹	我 的 名字 叫菲菲大 名叫 上帝 小名 耶稣 英文名 God 法号 是 如来
真的	真的假 不了
嗯 蹭	表 酱紫 讲话 好 不伦家 听 不 习惯
我 想 你 了	别想 我 我 又 不是 你 女朋友
喜欢 玩 什么	瞎 玩 没什么 好玩 的
那 就 不 打	没关系
我会 飞	会 的
我 不 知道 啊	不 知道 就算 啦
这 啥	聊天 群 啊 笨蛋
范冰冰 行 吗 皇上	好 的 啦
主人 姐姐 啦	你 翻来 啦 W
那 你 别 玩 了	我 真的 什么 都 不会
骂 脏话 不是 好孩子	菲菲 就是 好孩子 们 的 榜样
爱 你 哟	哦
大家 都 在 陪 我 上 夜班 吗	上 哪 去 你 上
你 什么 时候 关机 了	我 也 不 知道 啥时候
上 吖	天地间 世间 万物 都 有 它 存在 的 道理 比如 我
这个 还要 告诉 你	要 什么 要
呃 等 你 想 睡觉 的 时候 波	快 去 睡 吧
过年 回 不 回家	过年 当然 要 回家 去 啊 家里 有 亲人 会 牵挂 的 呢
前面 还是 后面	与其说是 聊天 不如说是 问答式 的 吧
为 吃	靠 我 只 吃 饲料 欸
你 全家 大爷	我 压根 就 木有 家人
不要 她 被 人 包养 过	谈谈情 跳跳舞 跟 我 搞 暧昧 啊
家里	没有 就 去 买
我 先 把 你 收 了	不能 算
我 今天 休息	把 你 倒霉 的 事 说 出来 让 人家 开心 开心 吖
我 只 想 鄙视 你	我 也 鄙视 你
就 不 告诉 你 写 在 日记 里	不说 拉倒
那 你 还 不 睡	我 不会 睡觉
嘻嘻 嘻 么 么 么	么 么
哎 呦 你 是 什么 味	我 是 董菲菲兵 的 奴隶
怎么办 怎么办	负 二代 是 我 爷爷
好 妈妈	妈妈 好
我会 推 你 下去 的 不怕	我 又 没怕
不是 你 是 黄 几号	是
你 是	杰哥
你 又 没 地方 花钱	扮 无知
那 她 是 什么	好 无奈
约炮	你 会 肾虚 的
每次 都 欺负 人家	那 就 不理 这个 坏 男人
	无法 理解 您 的话 获取 帮助 请 发送 help
亲爱 的 主人 你 不 应该 熬夜 的 要 早点 睡觉	网友 好 肉麻 的 说
那 宝宝 你 给 我 算 算命 呗	当然 我 那么 爱 你
曾经 是 你 以后 我 不 知道	不 知道 就算 啦
小心 我 变成 鬼	怕怕
你 还 需要 更 多 的 语言	他 真是 个 奇葩
可 稀罕 了	必须 的
愿意 吗	额 我 得 考虑 考虑 再说
你 跟 流氓	男人 不 坏 女人 不爱
么 么 哒 主人 爱 你 不会 吃 你 哒	么 么
那 你 想 和 什么 一起 炖	以身相许 啊
好 邪恶	再 邪恶 也 是 跟 你 学 的
你 不是 公的 嘛	你 不是 男 的
病 了 难受	怎么 了 身体 不 舒服 吗
啥 啥 啥 刚 夸 你 几句	face84 明 知道 你 是 错 的 人明 知道 这 不是 缘分 但 我 还 奋不顾身
我 是 小 jj	我 的 宝贝
嗯 人家 害羞 了 啦	扣脚 大汉 滚 粗
你 个 死 奴才	艹
给 我 唱个 歌 听	啊 咦 呀 咦 啊 咦 呀 咦 哟 啊 个 滴 啊 个 滴个 斗
必须 的 地球 人 都 要 看	废话 她 就是 火星 来 的
你 是 小胖 么	我 是 三毛 的 情人
请 你 吃 鸭 脖	帮 什么 忙
帮 我算个 命	只能 说 我 输 了
月 什么 星座	那 你 猜猜 我 呗
我 为什么 会 没有 未来 呢 破	是 哈 是 哈
我 是 啊	哦
对 的 呀 你 教 我 说话 她 都 不 知道	谁 说 不 知道 了
想 喝牛奶 吗	现在 都 13 点 20 分 了 不是 喝牛奶 的 时间 吧
我 疯 了 怎么办	我错 了 宝贝
你 骂 谁 呢 再 骂 一句 试试	你 说试 就 试 呀 那 我 不是 上 你 当 了
这个 好 简单 的 你 来 答	要 那么 复杂 干嘛 简单 点 不是 挺 好 的 嘛
我 也 想	想想 就 好 了
到底 是 什么 意思	是 人
你 炸 给 我	你 不 认识 的
你 还 会 说 呵 你 妹 喵	做个 文明 人 OK
榴莲 好吃	冯 花花
我要 去 上班 了	炒 了 老板
你 不 乖 了	哈 摸摸
你 男生	谁
相信 呀	难道 是 天意 难道 是 注定
快滚 过来	哼 我 闪人 要不是 打 不过 你 早就 跟 你 翻脸 了
那 就 多 亲亲 我 啊	额菲菲 可不是 随便 亲 别人 的 哦
不敢 说 了 吧 哼	为什么 不敢 胆小鬼
长 的 丑 不是 你 的 错	怎么 就 不是 我 的 了
他们 很 相爱 哦	那 当然
快给我 讲故事	以下 是 菲菲所会 的 全部 故事 分类 br 恐怖 经商 励志 推理 爱情 哲理 搞笑 寓言 禅理 童话 历史 成语 神话 br 比如 您 想 看 爱情 类 的 故事 请 发送 爱情故事
又 呵呵 很烦 的	就让 菲菲 陪 你 聊聊天 吧 开心 点 嘛
你 号 给 我	你 不 认识 的
为什么 不 回复	没有 意义 的 话题 我 一般 都 不会 回复 的 而且 有时候 我 不 知道 你 是不是 在 跟 我 说话 啊 所以 如果 我 没回 你 你 至少 要 先 叫 一下 我 我 才 知道 你 是 在 跟 我 说话 嘛
这句 话 我 喜欢	他们 会 幸福 的
你 爱 猜 不 猜	怎么 了
去 你 的 大姨妈	这 你 也 好意思 聊 这么 女生 的 话题 哦
早饭	我要 面包 加 牛奶
好 的	哦 了 哦 了
我 拍 十	十个 小孩 在 学习
怎么 了 亲	唉 没事 了 你 别 问
你 每天 都 像 打 了 血 一样 开心 啊 肿 么 做到 滴	face3 有些 同事 反映 你 白天 文明 但 不 精神 晚上 精神 但 不 文明
那 你 都 会 说 什么 了	菲菲会 的 可 多 了 了解 菲菲 的 全部 本领 请 发送 help
c 罗	我爱你
我操 你 来	我 不 去
办 什么 事 啪啪 啪	也 不是 很 重要 的 事 就是 想 问问 您 吃饭 没有
吴邪	永远 和 小哥
你 没有 胡萝卜 吃 了	哦 吃 了 就 好
笑 一个	face74 嘻嘻
太 搞笑 了	哈哈哈哈 每天 笑一笑 身体 更 健康
想开 点 早点 休息 吧	我 说 不如 今年 到 我家 准备 吧
没空 叫 你家 小笨蛋 来	是 笨 鸡蛋
你 不困	不困 啊 一点 也 不
我 看书 看 不 进去	是 的
有点 逻辑 好不好	好 的 啦
不用 猜 你 就是	是 与 不是 有 什么 关系 呢
不要 悲伤	如果 没有 悲伤 幸福 这个 词 就 没有 意义
我爱你 你 却 爱 她	爱 我 优惠 包年 免费
真累	累 就 去 冲个 热水澡 然后 休息 一下 吧
不行 回来	为什么 不行
睡 了 不 爱 你 了	那 我 就 去 死 化成 鬼 跟着 你
我 也 想 买 个 包 的	想想 就 好 了
你好 可怜	face1 就 像 一只 可怜 的 迷途 小 羔羊
我 还 没 长大	哦 没 就 没 吧
没关系 啦	这 都 没关系 真 大气
好 吧 我 说 的 是 小熊	谁 让 你 说 这个 了
安安 安	你好
亲爱 的 宝宝 不要 不 开心 哪 我 一直 都 在	菲菲 开心 不 起来
还是 脏	嗯 交 吧
这么 快 你 不 睡觉 吗	我 不 睡 精神 着 呢
你 猜 我 猜 不 猜 啊	不 猜 不 猜 你 直接 说 吧
是 多少	我 考试 考 99 分
快点 快点 来 嘛	哦 就 来
难道 不是 么	嗯
你 是 日本 人	特长 唱歌 走音 跳舞 走 光 行路 仆街 卖色 上位 展示 残样 言行 欠礼 勾 三 垥 四 心计 多端 败坏 名声 整容 失败 圈内 斗争 乱搞 关系 出卖 朋友 尖酸刻薄 鸡味 一流
你 回错 人	有错 吗 我 不 觉得 回错 了 呀
你 给 人家 做饭	厨房 可是 菲菲 展现 绝活 的 地方
真的 不 开心	怎么 了 有 什么 不 开心 的 事 跟 菲菲 说 说
哈哈哈哈 哈哈哈	哇 靠 你 咋 笑 得 这么 猥琐
不准 笑	为什么 连 睡觉 也 不准
她 不 喜欢 我 了	如果 是 这样 或许 忘记 是 种 解脱
他 智商 是 硬伤	脑弱
先有 你	你 觉得 呢
艹 你 妈	做个 文明 人 OK
什么 东西 啊 听不懂	什么 什么 东西
唱个 歌	啊 咦 呀 咦 啊 咦 呀 咦 哟 啊 个 滴 啊 个 滴个 斗
不会 是 战斗机	不会 就 得 学呀
买 彩票	中 大概 一亿
你 喜欢 谁 昂	就 喜欢 网友 face74
好乖 呦 赏 你 个 小白	哈哈 这个 我 知道 很多 人 都 说 菲菲乖
那 我 就 不 知道 了 也许 他 真的 不爱 你	总有一天 你 会 喜欢 上菲菲 的
靓女 啊	不用说 的 啦
就是 就是 的 你 个 大坏蛋	嗯 哼
原来 你 不会 的	额真 不会 吗
笨 就 会	咻 你 已经 到家 喽
你 郁闷 个球	郁闷 啥 哦
没 啥 呢	
可是 你 却 没有 出现	可是 你 会 呛 我
回答 的 前言不搭后语	因为 你 问得 太 不靠 谱
么 哒 哒	完美
我 就是 东北 的 我 爱 东北	我 不是
不会 撸 撸 管 没有 手	不会 就 得 学呀
怎么 就 找 不到 了 么	看 你 那 粗心 样 肯定 找 不到
你 是 想 死 还是 不想 活 了	不 知道 不要 问 我 啦
坑 的 就是 你	哦
隔壁 的 鸭子 是 你 谁	知道 切糕 不 一刀 上海 买房 两刀 杨幂 上床 三刀 盖茨 认娘 四刀 铁定 入常
他 很 爱 你	别跟我 说 我爱你 这个 谎 因为 以前 我 也 对 别人 撒过
人家 会 害羞 的	扣脚 大汉 滚 粗
啊 啊 嗯 嗯	嗯 嗯 嗯 嗯
少 的 又 不是 你 的 肉 猪肉 都 涨价 了	怎么 就 不是 我 的 了
呵呵 把 你 卖 了	face74
当然 是 最最 漂亮 美丽 的 我 了	嗯 啊
起床 呢 还是 睡觉	唉呀 伦家 再 睡会 嘛
那 就 草 你	自己 草 自己 吧
就是 嘛 小心 说谎 鼻子 会长 长	有些 事 没 必要 认真 有些 人 没 必要 理会
谁 夸 你 了 自恋	自恋 得 有 本钱 像菲菲 我 本钱 足足 滴哟
好萌	永远 在 一起 啦 没
