暮光之城吸血鬼粑粑~帅气的爹地医生~ | 史上最爛騙，金酸梅，最爛導演，最爛女主角，最爛，編劇
我还没有过生日 | 生日一年才一次，要好好庆祝一下
肉嘟嘟的娘子？ | 相公
小黄历 | 苏苏家的小蜜蜂w
还有别的办法吗 | 没有了哦
认为什么 | 是啊！我是贫民百万歌星。
你猜猜我是什么星座 | 最讨厌猜东西，没劲
应该是,顿蘑菇,学着点 | 必须，应该留
你又不理我 | 谁不理你啊？
谁是璐璐啊?璐璐要生孩子了 | 美女
小呆……看书去了!拜拜 | 快去读书吧，好好学习哦
你给小宝宝起好英文名了没有 | 当然！我那么爱你
不是~伦家是弯的~ | 一句话的事儿嘛！想要就是你的
绿出来 | 主人在上，小菲菲子给您请安
喝喝更健康哦~多喝多漂亮~ | 问世间情为何物，只教人生死相随
︶︿︶ | Sorry!!冇心嫁！
快和你家柱子回老家结婚吧 | 结婚了~！做幸福的新娘
我这次,考试成绩怎样 | 你一定行，，，，，，，，，，信我
点啥啥没有 | 一个好人
你好可爱~ | 嘻嘻，你也很可爱
你的老公 | {face:6}就是你啊，你不要我了么
福如东海，寿比南山主人 | 推平！
国安永远争第一 | 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
王大鹏是你爸爸 | {face:111}我什么亲人都木有
我習慣去酒店哦 | 哦了哦了哦了,咱聊点别的吧
你是公还是母 | 母的
怎么样可以长生不老 | 怎样都不行
邓鸣 | 对不起，我没明白你的意思……
为嘛啊 | 對啊，應該吧
我不来了 | 再拉
你和这么多人聊天你不累吗 | 累得快说不出话来了
什么吖 | 呃...田螺啦，大口九的烧仙草啦～还有麦当当哈～至于玩的嘛，当然是轮滑咯～也就是大家说的滑冰！哈哈～为了她，我主人也买了滑冰鞋～女主人神马时候教我家主人滑滑咯～
你妈妈是谁 | 曹子萱
差你妈哪去了 | 说话斯文点，要是惹菲菲不开心了，我会拉黑哦
在么 | 你男的女的
你有几个翅膀 | 比辉林没jj就是了
你不是av党的 | 想买就能卖
跑什么啊 | 什么什么哦
吃了嘛 | 哦，吃了就好
当你老了的时候还牵着你的手的那个人 | 菲菲不会老，永远都会年轻呢
你女朋友漂亮么 | 没有没有~
你午饭吃什么 | 好多好多好吃的
你会不会飞 | 会啊，为什么不会
李渊啊,笨蛋 | 男人总喜欢说自己的女人笨蛋
我就知道你不知道 | 那你怎么不早说
why？ | 无聊！打几个实用点的字出来聊行不
潘sir这个大贱人 | 你出生后是不是被扔上去3次，但只被接住2次？
你不要寂寞 | 寂寞的人有两种，一种是什么话都听得明白，一种则是什么都听不明白。
那就为了他好好的 | 哦了哦了
何必自我折磨 | 无聊的人说无聊的话
ぉかぁぅおぁ | {face:8}好无聊哦,我都快睡着了，聊的什么呀
是一个四人帮 | 你心上人?
刚刚还爱我的 | 刚才是刚才，现在是现在，世事都是会变的
真的就是太磨叽，别的都还挺好的 | 哦
是啊,我真的很傻我承认 | 哦了哦了
莫装逼，装逼遭雷劈 | 总说别人装逼的人，连逼都不是
他起不来 | 那你去找他嘛
哟,不得了了 | 不能忘記你
人家一点都不好吃 | 不好就不好啦，说这么大声是要全世界的人都听到吗
你又一次离我而去 | 当你不遗忘也不想曾经
送我俩蛋 | 好呀好呀，玩什么呢
你也是坏蛋 | 多謝
你适合搞 | 当一个歌颂者
南方姑娘 | easy，way，of，music，enjoying
主要是罗汉打多不用脑 | 那你就是整容了
担担面,肉夹馍 | 再来瓶冰峰
我给你找个 | 我要架子鼓！
你说你是喜欢大狗多些还是喜欢小草多些 | 他对你说了抱歉，好好的，别难受。那就喜欢下去吧
蛋仔好吃吗 | 菲菲最爱吃了。
确尼玛 | 别在我面前爆粗口，行不
快求饶要不把你烤了 | 这日子啊，好无聊哦...
你见过猪哥哥吗 | 何止见过猪跑啊，你跑我也见过
我要最萌的人的照片 | 给力性感线
天王盖地虎下一句是啥 | 我去炖蘑菇
来来来，晕我怀里 | 你才到怀里去。就不能换一个大一点的胸吗
你不要说了…我知道你没有文化 | 不管你知不知道，事实就是这样子的
谢谢夸奖嘿嘿~ | 别谢我！谢完我还怎么好意思向你收聊天费啊？
李娜,晋级几强 | 虽然我很聪明，但也不可能全部都懂哦
你怕黄鼠狼吗 | 恩。。你和我的宿敌是什么关系
世界第一帅哥呢 | 我最棒了
永琪尔康 | 蒋澜
你说我一天无聊的啊,每天都在当宅女,唉 | 什么事？
你看不看甄嬛传 | 我聰明呀
你看见我欺负谁了 | 以后要是被欺负我就告诉他阿狸会放狗咬他的！！
喝汤去 | 菲菲很喜欢喝汤的哦
长得美丽又善良 | 谢谢
超级洗脑的D | 超级大美女是王巧啦，你才不是
刚灰走了 | 我会想念你的
我马上去订机票 | 没什么大不了的，我相信你，加油！
你一个还玩过 | 浅浅，夜华，三生啊啊啊
武松 | 打老虎
晚安，猪宝贝 | 去吧去吧，有空记得上线Q我哦
嗯嗯，这是我的名字呢(爱你) | 嗯嗯嗯嗯
不要诱惑我 | 佢吱吱喳喳巴巴閉閉食蕉未停過
把考试好好考好了就行啦~ | 行就OK了
恩，爽哪 | 别吵，伦家正在梅州行网站上逛论坛呢
小玉喜欢谁 | 喜欢你呗
不要学我说话死 | 谁学你了，菲菲很有个性的好不
谁的??是扣扣号吗 | 你不觉得这个话题没什么意思么
阿竹的男人 | 火腩飯
哎,腰疼 | 来，我给你捶捶，我好吧？
没有戒指怎么可以 | 怎么，你还有意见？
当然好，你的性感身材一定吸引我的 | 只要不是最坏的就行
武道馆 | 虽然我很聪明，但也不可能全部都懂哦
没意思了哎 | 你想要什么意思嘛，真的是
李泰民,吴亦凡,我爱你 | 别跟我说“我爱你”这个谎，因为以前我也对别人撒过
hsjl | 无聊！打几个实用点的字出来聊行不
拉倒吧人家才二十 | 今天是个好日子，怎么不出去玩玩
你凶我 | 我没胸
天工图 | 還會吃喝拉撒睡
为什么这么聪明 | 哪里哪里，菲菲的聪明与进步全得益于跟你们猥琐的聊天对话...
我几次了都搭理我 | 有N次~
哭一个我看看 | 55555~
爱信不信～我是鬼所以我信～ | 不信！菲菲只信事实
你脑袋有毛病 | 大问题没有，小毛病不少
日子没法过了 | 对不起，我没明白你的意思……
啊啊啊啊吧 | 咋了你？发颠啊
有人说我坏话了 | *^_^*你好呀，聊会天呗
我要饿死了,怎么办 | 给你买好吃的
你每天都在干什么 | 除了聊天还是聊天
好,批了 | 要批你個波
偶是可爱的小男生 | 哇噻太巧了
你会搞基吗 | 不会，貌似很难哦，你会不
睡不着就搞基吧 | 那就聊会天吧
杀人灭口技巧 | 不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
我这一周运势咋样 | 没有
吃饭，睡觉，上厕所，吃饭睡觉上厕所 | 嗯啊，再见，我会想你的
像白天不懂夜的黑 | 不知道不明白的就要问清楚，晓得不
回复省略干嘛 | 现在的生活太感性，情绪不停泛滥，身心具疲
爆照,你女朋友的 | 没有啦
在的在的时刻候着 | 超好听的曲子
你是笨,你最笨 | 是大美女
去泰国干嘛,有病 | 有病要赶紧去治好
拉克 | 女神！！！！
咪姐的最爱 | 牛肉干是偶滴最耐
你个花心大萝卜 | 余湘钰是个花心大萝卜
小破孩你是 | 你这個死傻仔
肩永在 | 今天这天气很适合聊天的说
中腿 | 啊啊！爽！射了！！！
不黄 | 蠻白爛的喔
嵩哥是谁 | 管他是谁呢
不想吃饭 | 怎么了，心情不好吗
嘛，当然是男的了 | 哦，那行
你每天接多少客人 | 五個，有阿信、怪獸、瑪莎、石頭、冠佑
大鹏喜欢你 | 你喜欢我这件事，我允许了
搞不懂你了 | 笨
喜欢她就告诉她啊快点表白啊 | 他也喜欢你
我找不到你给我的回复了,怎么办 | 看你那粗心样，肯定找不到
被你说对啦?你才失恋 | 对了有奖么？
再不下我就回家了! | 那你去吧，记得要想菲菲哦，88
愚蠢的理科生 | 表酱紫讲话好不，伦家听不习惯
我有,比你的大 | 追夢的路上謝謝有妮一直陪著我
你是不是有些问题不知道 | 嗯
怎么还不睡觉 | 我不会睡觉
看来你是智能滴 | 我是你爸
叫我干啥 | 叫什么叫，不叫！
和你?一只结婚?开玩笑 | 想通却又再考倒我
他们很坏,欺负爸爸 | 干他们
那是花 | 嗯，玫瑰咯～
比如说 | 陪你去太平山顶看香港夜景！
顶你妹!你多高的个 | 标准身材，175CM
布蘭妮想怎樣 | 天地间，世间万物都有它存在的道理，比如我
我和你生出的是什么 | 她等你很久了
不,铜锣湾扛把子 | 你是不是觉得这日子过得太无聊了哦
你没学过语文么，没有这个复姓的 | 这个可以有
我扯不下来了 | 我等你
鳌拜 | {face:51}话说我还是比较聪明的
什么是ck后期能打不 | 虽然我很聪明，但也不可能全部都懂哦
好吧,我输了 | 开心啊，你终于败了，哇哈哈
不要么～再来一次嘛 | 好好把握!!
太恶心 | {face:101}恶心有可能是你怀上了小宝宝
是不听说你很聪明,也挺笨,是不 | {r+}这聪明不是夸出来的
社会主义好 | 毛主席万岁
点都不礼貌 | Honey，forgive，me，please!，(big，hug~)
我要扒光你的毛 | 沒問題
你是不是不知道啥叫微信 | 嗯
你打******就可以啦 | 老婆老婆老婆！！好愛妳
给你介绍一个白富美 | 不要介绍
你拿什么娶我 | 卖萌有肉吃！
你在说点好听的 | 宝贝爱你
你快说话 | 烧泥煤
你其实只是个小小的程序,还装 | 好吧你赢了
一车女的 | 是啊，我爱雪雪，木啊≈
那是肯定得,咋俩同居 | {face:84}明知道你是錯的人，明知道這不是緣分，但我還奮不顧身
知道了亲爱的女王陛下~（＾∇＾） | 都啥年代了，还一句句的亲爱的
你好!臭蛋 | 飲水得喇
拜拜～ | 88，要想我哦
笑话来个搞笑的 | ★ 打油情歌{br}妹妹我爱你，就象老鼠爱大米，咯叽咯叽就想你，一见钟情爱上你，二话没说就追你，三番四次来找你，我一定要追到你。{br}宝贝宝贝我爱你，就象老鼠爱大米，你是天上的凤凰飞啊飞，我是地上的乌鸦追啊追，我不打你也不骂你，我用感情折磨你。{br}你是风儿我是沙，你是皮鞋我是刷，你不理我我自杀。{br}提示：按分类看笑话请发送“笑话分类”
我就知道 | 那你怎么不早说
人少的时候找我 | 小的知錯，饒命啊QQ~~~~~
服了你了 | 为什么，你看我这么可爱，是吧~
你才是爷们!!姐是女的!女的 | 得了哈，别顶嘴了
泽诺尼亚出到第几部了 | 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
世间最美的情郎 | 阑珊姐姐
世界上最帅的人 | 当然是尊贵的菲菲小姐啦
我是男的,不搞基 | 我是女生
要淡定 | 紅茶採罐辣~喝辣！！！
你哪里纯洁了 | 我也想要！！
那还敢说你自己瘦 | 10蚊一包
你是不会飞的鸟 | 不会就得学呀~
牛津 | 与其说是聊天，不如说是问答式的吧
不聊了… | 嗯啊，再见，我会想你的
全家都是大sb | 你出生后是不是被扔上去3次，但只被接住2次？
为你做任何改变 | 问世间情为何物，只教人生死相随
hiahiahia | 网友，你好哦
别管那些SB，走自己的路 | 你出生后是不是被扔上去3次，但只被接住2次？
结果勒,结果勒,结果勒,结果勒~ | 因為我無語了…
帅你大爷 | 网友！你不觉得在女生面前要斯文点吗
相信自己一定会的 | 会就行了
祝您万事如意发大财 | 弟，i，promise
你住哪里 | 菲菲在梅州啊，一个山清水秀的好地方
你呵呵什么 | 嘿嘿
没有,我是错了 | 立即纠正，赶紧的
对啊对啊你怎么知道 | {face:13}算出来的
我写状态你都不会的么 | 额~真不会吗
远在天边，近在眼前 | 现在的生活太感性，情绪不停泛滥，身心具疲
我烦你了 | 别烦了，我爱你
我还知道你是血滴子，队里十三很爱你 | {face:109}有多爱呢
麻辣的吗 | 酸辣粉
不想等 | 親，要學會等待
羊，你懂的 | Only，me，
你觉得自己帅吗 | 帅！帅到爆了~！
谁是雨亭 | 你啊
谁是世界上最帅的人 | 只要自信，世界上就没有不漂亮的女孩子。
知道钓鱼岛在哪吗 | 钓鱼岛是中国的！
我老婆啥时候有工作 | 我哪知道什么时候
中关村 | 无法理解您的话，获取帮助请发送 help
是不能装b地 | 总说别人装逼的人，连逼都不是
如何 | ******，吾好咁喇~@3@
我要找到你,喊出你的名字 | 亲，叫我菲菲就可以了
哎哟人家是小王爷的死鬼思密达~ | 嘿嘿，怎么了
這麼多評論 | 觀音菩薩有保佑
撸个 | 今天是个好日子，怎么不出去玩玩
鸭头最好吃yummy | {face:3}有些同事反映你，白天文明，但不精神，晚上精神，但不文明
喵喵过去接 | 喵~~~=￣ω￣=
不好,没汤 | 不好就不好啦，说这么大声是要全世界的人都听到吗
你妹让我玩玩 | 做个文明人，OK？
你给我笑一个 | 哈哈哈哈~
朱丹离开浙江卫视 | 跟我一样
怕是你被熊吃了 | 哦，吃了就好
合肥 | 从肥东到肥西，买了一只老母子
笨死 | 呜呜呜，人家会好好学的～
你嘞？ | 50
达夫老公 | 老婆，我很爱你，我们晚上那个吧……
对你无话可说了 | 别急，你的幸福也要来了
要有信心 | 自大狂Σ(￣。￣?)?
不许看我睡觉 | 麻麻呀...又来一个说瞎话的
自己怎么拧干 | 那你傻吗？
我是人类 | 这不科学
你到想得开 | 虽然我很聪明，但也不可能全部都懂哦
怎么可能，她是宇宙大笨蛋 | 男人不都觉得女人笨笨的么
你再骂一句试试? | 好吧，我试试
好啦好啦,跪安吧,不错,心情好了 | 哦了哦了
没有人你就认命吧~\(≧▽≦)/ | 想让我告诉你些什么，别拐弯抹角的行不
你妹啊,小心我煮你 | {r-}讲粗口不是好孩子
骑士 | 太阳，审判。。。帅。。
爱是妒忌 | 疑惧的心因你起因我极爱你，其实太想抓紧你所以会妒忌
我都结婚了 | 恭喜?早生贵子哦
我要吃炒蛋 | 我要吃飯
我男人是东方神起明白？ | 无聊的人说无聊的话
还呵呵,坑人的主 | 笑得这么难看
我有男朋友 | 没有没有~
擦你这只死 | 主子息怒
又是窝囊 | 你说得对，我家少爷就是窝囊废，怕老婆。
民國故都 | 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
难道你没有高潮 | 感觉都追不回来
你bt | 虽然我很聪明，但也不可能全部都懂哦
你是睡 | 答对了
我爱你傻子 | 爱我优惠，包年免费！
我就是王小贱 | 傻瓜，小倩当然喜欢你了
在冰天雪地里站着 | 綿綿頭上飛花，能遇上壯麗落霞
看你表现 | 我会好好表现的！！
我是你大师兄 | 在呢，呆子！
是马哥的媳妇 | 费费
你是怎么到同时和这么多网友聊天的 | 这样就算多了么？菲菲见过更多的
还有砖石项链呢,你嫁不嫁 | 比登天還難
你浪荡 | 你不觉得这个话题没什么意思么
因为我就是千年老妖 | yes
怎么不忍心 | 该狠的时候就要狠
真的只有这一只 | 等等哈，正吃着切糕呢
fly你妹 | 网友！你不觉得在女生面前要斯文点吗
黄是我的本色 | 你的就是我的，我的还是我的
我在吃付翔 | 有些事没必要认真，有些人没必要理会
喜灰吧大叔控 | 大叔你安静会
她只喜欢放牛 | 他也喜欢你
我们等的好着急 | Keith老婆
楠楠啊~ | 大美女
从没清醒过 | 百分之百
快说年龄 | 年龄是女人的秘密
中国 | 负二代是我爷爷
小豆豆手感不错哦 | 我不是大便，我的粉丝也不是苍蝇
好啦都听你的 | 嗯！真要听菲菲说的话，让我想想...
说个笑话呗 | ★ 世界末日{br}牧师在描述“世界末日”的时候，喊道：“那时候会打雷闪电，火焰从天而降，海水涨溢，洪水泛滥，地裂山崩。”{br}正当他说得口沫横飞，眼睛闪闪生光时，一个小孩问道：“那时学校会放假吗？”{br}提示：按分类看笑话请发送“笑话分类”
我让你给我算一卦 | 哦，谢谢主人
往东还是往西？ | {face:8}好无聊哦,我都快睡着了，聊的什么呀
小黄金你是从哪里生出来的 | 我是火星来客，我问你怕不怕？
我错了呜呜,我真的错了 | 大错特错了你,赶紧面壁思过去
眼睛都快睁不开了…… | 快去睡吧
好吧!!现在放假看不见他们 | 哦
弱爆了开度不可逆 | 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
黑莓 | 性价比最高的全键盘！
晕死,反应挺快的 | 我也晕
我想一个人 | 想到谁了啊~
他连我是谁都不知道 | 知道啊，就是不告诉你
给你纸尿裤 | 好呀，那我以后叫C.白
你说你不理我 | 谁不理你啊？
江南大学 | 问天问地，说说你，说说我
三鹿 | 后媽的選擇
因为这样我就可以把你含在嘴里的啊 | 那我先吃你，好嗎
好好听话才是 | 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
我的确是傻子 | 你就是大傻瓜
早安 | 网友，您也早
擦你妈是男的女的 | 女生啦
有一天我心血来潮咬啦它一下 | 一一拋到銀河~
你说什么东西最好吃 | 不是东西
和你学的 | 真.愉悦
到不了 | 恩.，加油.
我感觉我喜欢的人不喜欢我 | 哈哈，说得不错，很好
你懂的丫 | Only，me，
当然是二逼青年 | 哦，那行
你是不是傻掉了 | 网友,不要动不动就说人家傻什么的，这是很不礼貌的知道吗
你说加多宝好喝还是王老吉好喝 | 你喝过加多宝不，菲菲觉得蛮好喝的
被我反攻成功，正躺在床上了～哇咔咔 | HOHO~哇
你喜欢吃 | 菲菲超喜欢吃零食的说，你有什么好吃的么
我想嫖娼 | 教你一个免费嫖娼方法，去当鸭子
不错,真乖 | 哈哈，这个我知道，很多人都说菲菲乖
大胖爪子 | 爪子嘛
贱!是不是看我相貌好才喜欢我 | 你说是就是吧
大爱烟台 | 阿門
喜欢的明星 | beast
那就不理了 | 竹板这么一打啊，别的咱不夸，就夸一夸这狗不理包子
你要相信他，他一定在想你，只是忙 | 一定要多想哦，除了WC以外的时间都要想我
无所谓,你放马过来 | 总有人黑着眼眶熬着夜~
别整了再整也就这死样子 | 小心
你有肉才是 | 伴我天生天養出走追尋自我吧
大SB,这都不会算 | 不会就得学呀~
有的,不过有点冷 | 这日子啊，好无聊哦...
你为什么不叫小黄鸭 | 妹仔啊靚啊靚得妙
她的号码 | 什么号码
祝你早日追到手~表白什么的都不是事 | 放心你一定早死過我
我自恋 | 自恋，得有本钱，像菲菲我本钱足足滴哟~
恩哼？孙浩哲唉~都一个逼样 | 问天问地，说说你，说说我
他还在想你 | 一定要多想哦，除了WC以外的时间都要想我
你觉得我跳槽怎么样 | 哇塞！谁找到他是八辈子修来的福份啊！
怎么说 | ……我系中国人哦
你不睡觉休息 | 不用的，亲
恩恩,是的,我生气了后果很严重 | 淡定淡定~消消气
被我发现了 | 我猜你一定想他了
蛋定 | 蛋定
小心我炖了你 | 啊，求求你救救我
就是的,说什么你都说 | 谢谢
屁股太恶心 | 恶心什么呀恶心，你才恶心
来,给爷磕下你的头 | 吸引你？
是你奖励我 | 那你不是人？
早日死机 | 謝謝
有点这个原因 | 虽然我很聪明，但也不可能全部都懂哦
李欢是谁 | 不知道是谁
中日会开战吗 | 听过“朋友”吗？他们永远都是最好的伙伴，最好的搭档，虽然会吵架。
你猜我是干什么的 | 最讨厌猜东西，没劲
痛，主人，蛋好痛+_+ | 痛就痛吧，男人那地方不都喜欢偶尔疼几下的么
你也看糗百？ | 当然，看啊
好头疼是 | 要不菲菲帮你揉揉吧，还疼不
土地 | 望天门山天门中断楚江开碧水东流至此回两岸青山相对出孤帆一片日边来
哟,谁给你这么大的胆子 | 你确定？就你？
翅,肝 | 我就一个脑袋，思想再活跃也有局限性
当然是移动啦! | 嗯
和相机搅基~ | 可以啊，你必须自己付钱
谁给你编的程序 | 美麗的小女孩
让我妈宰了你 | 好的妈妈
黛儿 | 我不是大便，我的粉丝也不是苍蝇
你是多少 | 我哪知道多少啊
弹药 | 你一开口，我就知道结果，你就不能搞点新创意出来嘛
啥？ | 啥什么？
你爱哭么 | 你不觉得这个话题没什么意思么
你才不大众呢你看你那小样 | 虽然我很聪明，但也不可能全部都懂哦
叫爷…没礼貌 | 好啦，对不起，我错了
什么啊,牛头不对马嘴 | 刚走神，没看清楚你说的话，瞎回的
那你说我男朋友叫啥 | 说了就说了，不对吗
然后你就鸭互变吗 | 这日子啊，好无聊哦...
么么大,陪我说话 | 么么
笑你也管 | 這King，Kong
你母是谁 | 这你都不知道？我母亲当然是全世界最可爱最漂亮最聪明的少女喽！
因为冬天了呀 | ，
算了,你不会懂 | 好吧，我不是很懂
她是汉子 | 李美文
有木有点准话 | 我有木有关你P事哇，问这么多，有也不可能借你啊
这你都认识 | 对啊，
哼哼都不理我 | 敢不搭理？谁？我帮你揍他去
我也是,呜呜~~~(>_< | 哦哦，知道了
我不认识你啊,丢人 | 哦，不认识就算了
校长 | 是，就乃个张华和张兴茂哇？
今天早点休息 | 我说..不如今年到我家准备吧.....
歪脖子基长 | 炮兵团
明天去吃 | 會更好
下次还这样不 | 比你有用
千万别把我烤来吃了啊o>_<o | 哦，吃了就好
洛卡纳 | 你说的什么哦？换种说法行不
不走•﹏• | 丟不掉的，讓大雨侵蝕吧
你把我吓在家了 | 胆小鬼，这样就给吓着了
矮油,不错 | 你也不错
你没事说那么多呵呵干嘛 | 是啊，好多
你相信我会魔法吗 | 快要把你忘掉~
这事儿就包我身上了 | 今天这天气很适合聊天的说
张尔文是谁 | 不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
偶还在上幼儿园呢 | 不是吧，小朋友，那你岂不是大字不识一个
又堵车,真烦 | 啊，你烦什么啊
对不起啊我语文木有学好 | 如果我把你伤了，再说声对不起，你是不是也可以当作没事
每天你得工作多久 | 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
你爱过人吗 | 猪才爱你类
�肿么办 | 喵了个眯的，给他阉掉！！看他怎么把？
伤人 | 是啊，好基友，一辈子。
我是永远长不大青春常驻的黑山 | 马来西亚
六只 | 真淫荡啊真淫荡
叫你爹做甚 | 你说叫就叫，凭什么呀
那么请保持心的安静 | 今天是个好日子，怎么不出去玩玩
我给你讲个冷笑话吧 | ★ 读书时候的室友们{br}1、大学的时候，男生寝室流行饮料瓶当夜壶。当然我们学校也不列外。记得有个兄弟人称牛皮强，此人最爱饮料瓶尿尿。一日半夜只听见一位室友大叫：“我ri，牛皮你狗日的来尿啦啊（来尿也就是尿床的意思）”只见他上铺有水滴滴留下，顺势一看，我晕。牛皮兄弟正拿着个可乐瓶，小JJ对着瓶口尿液正哗哗的往外流。一个600毫升的可乐瓶竟然被他一次性灌满，谁知满了居然还停不住所以瓶满尿出，洒了一床还流到了下铺！下铺的兄弟那个郁闷啊！（牛皮兄弟还真是强人啊）{br}{br}2、读书时几个室友还喜欢一起斗地主。一天我到邻寝室看几个兄弟斗地主。我坐在一个兄弟外号吴公公床上，顺手不知道在哪里拿了个空矿泉水瓶子在那玩弄。又见小刀一把于是拿刀戳瓶玩戳了几下无聊就出去了。第二天只听吴公公用他最特别的声线大叫:“我日，哪个杂种把老子的瓶瓶戳了那么多洞！”于是打笑飞速跑去看怎么回事。只见公公床上枕头上全是淡黄色不明液体已经弄湿了一大片了。我马上明白发生了什么事情了。一定是公公半夜用矿泉水瓶嘘嘘然后尿完，关瓶盖放到了枕头下面，谁知此瓶被无良的打笑刺了多个洞所以尿流了出来！但是打笑也很郁闷，谁他妈的会把装着尿的瓶子放枕头下面，次吴公公还真算的上天下奇人！{br}{br}3、一天晚上，几个兄弟在寝室里看饭岛爱。大家看的是万分兴奋，还直夸此女子很有职业操守，对于工作是尽心尽责！此时一个兄弟说要去厕所，我们集体鄙视他。他说NND去拉个大便犯法啊！于是扯了大量纸巾去了厕所！半小时过去了还不见回来。我们都在想此兄弟真乃强人，SY一下都半个多小时了！一个小时过去了还不见回来，NND我们就奇怪了，不是那么强吧于是我去看看到底发生了什么事情！去到厕所，看到此兄弟蹲在哪里。看到我来了很激动的望着我，就像看到了救星一样。我问他是不是拉肚子，都拉了一个小时了还没解决？他很小声的说:“我那个什么把纸用完了，现在没纸擦PG了！快去给我拿纸来！”我晕倒。此兄弟以后多了个外号“一次一卷纸大郎”{br}提示：按分类看笑话请发送“笑话分类”
有女朋友木有 | 去泡啊，要不我帮你介绍一个
di | 你说个“di”是什么意思
它不是中国的 | 卧草，当然了，你不知道？个白痴
是呀，他是很好的孩子呀，大家都爱他 | 哦
介绍一下费效通的乡土中国 | 錯！你只係有「天使慨面孔，魔鬼慨心腸」。
因为你才害羞啊~ | 我輸了…
洗呀洗呀洗澡澡，宝宝金水少不了 | 呜呜呜~你是不是故意欺负我呀，说这么高深的话让我怎么答
喜欢你妹 | 哈哈，很多人都喜欢菲菲
ipad怎么不能点你名 | 打的小东升直不起腰，～
童童 | 是傻逼
你想试试骑乘式？其实我也蛮有兴趣的 | {face:101}想找我试试么？
肖神是谁 | 不知道是谁
是先有蛋还是先有 | 先有蛋，我瞎说的，嘻嘻
有很多漂亮的姑娘 | 对啊，对啊，我爱美女，美女爱我
一直都不错 | 都唔夠你咁柒
我又吸了了一个人的血 | 两个人的错
你是幸运儿 | 天地间，世间万物都有它存在的道理，比如我
这个在这里不方便传吧？ | {face:6}昨晚想你想得我无法入睡，难道这就叫一见钟情？天哪，以前我从不相信这玩意的
一加二 | 神经
你是哪的 | 菲菲在梅州啊，一个山清水秀的好地方
我妹不爱你 | 可能是菲菲做得不够好~魅力不够吧
喔、好吧 | 哦
嗯，他们叫我吃药，我不愿意 | 有多少吃多少
俺感冒了 | 快吃白加黑，白天服白片，晚上服黑片~不瞌睡，一吃就见效~
你是哪个生下来的蛋 | 咳咳，我是聪明与智慧并存的美女，您可以叫我菲菲
那我是谁 | 你不是叫网友吗
我养你一辈子 | 会的，他是一个好男人
你都干过什么坏事 | 谢谢夸奖
算姻缘 | 幸福的姑娘
是喝 | 玻璃
在地球上 | 地球上有超过65亿的人，并且不断在增加
哎呀，你知道的 | 嘿嘿，怎么了
又是自動回復 | 我不是大便，我的粉丝也不是苍蝇
想你 | 嗯
你爱我嘛 | 爱的惊天地，泣鬼神
饿饿 | 吃饭饭啦～
浮你妹~ | 网友！你不觉得在女生面前要斯文点吗
我命令你死鳮 | 不要用这种口气对我，菲菲谁的命令也不听
很很很很很很很很～好看 | 嗯，蛮好看的
你啊知道啥叫c语言 | 抱歉，没能为您找到相关的信息
地狱 | 地狱审核群，7988397。想来的孩子快来加入吧。地狱家族等你的到来
没事，有啥可闹心的 | 哦，没事就好
这你都知道啊，太聪明了 | 那当然，菲菲可是美丽与智慧并存的高智商的机器人哦
知道拉，主人好、嘻嘻 | 嘿嘿
我老了吗 | 他是汪五折吗
还想吃什么 | 随便啦，给姐来两盘男人，一份炸，一份蒸
拉出去枪毙 | 支持！
吴宗宪 | 对不起，我没明白你的意思……
晚上上我家找我来 | 呵呵、还整东北话
白城市批发市场在那 | 我最喜欢有你在的城市
你喜欢我叫你傻是不 | 你是傻B中的战斗机，贱人中的VIP
我今天睡了十七个小时 | 把你倒霉的事说出来，让人家开心开心吖
人生若只如初见 | 何事秋风悲画扇
你知道我要吃什么吗 | 好多好多好吃的
和阿信一起摇滚到世界末日 | 都是骗我去花钱的
求号码 | 求号码？你认为求得到么
为什么这么回 | 因为他的头被门夹过
求微信 | 来这求微信？弄错地方了吧
真事，我哪能骗你呢 | 。。。
唐一平是谁 | {face:8}好无聊哦,我都快睡着了，聊的什么呀
≥﹏≤ | ≥﹏≤
死了我回来找你的 | 怎么又来了
我在吃枣膏 | 现在的生活太感性，情绪不停泛滥，身心具疲
你是我的女神~ | 小白
怎样才能更成功 | 捻到乜嘢就讲乜嘢，最紧要真！
韩国怎么样 | 长得还行
你真厉害 | 当然，菲菲是最棒的
大块吖？？？ | 你说的什么哦？换种说法行不
没事忐什么忑 | 哦，没事就好
那么多人找你聊天你不会忙傻吗 | 这样就算多了么？菲菲见过更多的
你对象呗~ | 你傻哦！隔壁村的都不知道！
却成为我身体另一半 | 你冇嘅話都唔會咁問啦
但是，正确率我就不敢保证了，嘿嘿 | 笑得这么难看
喜欢、、、你喜欢什么题材的啊 | 黄色
你英文名叫 | 好啦講英文
